English for ,Intermediate Learners 2,
inspire,"# to give someone desire, confident or enthusiasm to do something well
– > the actors inspired the kids with their enthusiasm.
– > The actors’ enthusiasm inspired the kids.",
inspiration ,"# a person or thing that is the reason why someone creates or does something 
– > He says my sister was the inspiration for his heroine.",
dove,"# a bird of pigeon family; The white dove is often used as a symbol of peace
– > A dove cooed softly.",
critter,"# a living creature 
– > wild critters
– > Plus, the three days off gives us a chance to go into the woods and find more critters.",
devour,"# to eat all of something quickly, especially when you are very hungry | synonym: gobble up
– > And, of course by removing these animals from their natural habitat, we protect them form being devoured by their natural enemies.",
win-win,"# ( of a situation ) in which there is a good result for each person or group involved
– > This is a win-win situation all around.
– > It is a win-win for all of us.",
,,
lesson,# 22. Mayor Denies Hit-and-Run Charge ,
,,
sheriff,"# ( In the US ) an elected officer responsible for keeping law and order in a country or town
– > The mayor of Sacrapinto, J.K Choi, 35, was charged with hit-and-run driving last night by the mayor last night by the town sheriff.",
calf,"# ( plural: calves ) the back part of the leg between ankle and the knee
– > I tore a calf muscle.
– > She wore a calf-length shirt.
# a young cow
– > A freshly killed calf was discovered lying in the middle of Arlington Drive at about 10:00 p.m.",
ornament,"# ( BrE ) an object that is used as decoration in a room, garden/yard, etc rather than for a particular purpose 
# 2. formal: an object that is worn as jewelery 
– > She did not see the driver but she did recognize the hood ornament on the car – a pair of bullhorns.",
bullhorn,"# an electronic device, shaped like a horn, with a microphone at one end, that you can speak into in order to make your voice louder so that is can be heard at a distance ",
neon,"# a chemical element. Neon is a gas that does  not react with anything and that shines with a bright light when electricity is passed through it
– > neon light/sings 
– > A couple of months ago the mayor got his horns neonized, so they have this soft purple glow at night.",
glow,"# verb: to produce a dull, steady light
– > The lighted candles glowed in the darkness.
# noun:  a dull steady light, especially form a fire that has stopped producing flames
– > The city was just a red glow on the horizon.",
city hall,"# the local government of a city and the officers it uses
– > The sheriff drove over to the mayor’s house, which is about five miles from city hall.",
streak,"# a long thin mark or line that is a different color form the surface it is on
– > There was a streak of blood on his face
– > streaks of gray in her hair
– > Because that is when there is no hot sun that causes the car to dry fast that you have sun streaks.",
grief ,"# a feeling of great sadness, especially when someone is died
– > She was overcome with grief when her husband died.
# idiom: good grief: used to express surprise or shock
– > What did that happed? he asked. “When did what happen?” Chio aksed. “Oh good grief! I never even noticed that!",
superglue,"# a very strong glue that sticks very quickly and is used in small quantities for repairing things
– > I wonder if I can find the missing piece and superglue it back on.”",
astound,"# to surprise or shock very much
– > The mayor was astounded.",
settle,"# { end argument } to put an end to an argument or disagreement 
– > It is time you settle your differences with you father.
– > We will settle this in court. I am an innocent.",
innocent ,"# not guilty of a crime, etc; not having done something wrong
– > They have imprisoned an innocent man.
– > She was found innocent of any crime.",
butcher,"# a person whose job is cutting up and selling meat is a shop/store or killing animals for this purpose 
– > By they way, get that calf over to Lester’s butcher shop right now.",
rib eye,"# a piece of beef that is cut from outsides the ribs 
– > I know he will forgive me after he tastes Lester’s world-famous rib eye.",
,,
lesson,# 23. Gasoline Prices Hit Record High,
,,
skyrocket,"# ( of prices, etc ) to rise quickly to a very high level
– > Residents of southern California are trying to get used to skyrocketing prices for gasoline.",
octane,"# a chemical substance in petrol / gas use as a way of measuring its quality 
– > high-octane fuel 
– > The average price for 87 octane economy gas is $2.22, almost 30 percent higher today than it was 12 months ago.",
,,
lesson,# 24. A Festival of Books,
,,
guide,"# a book, magazine, etc that gives you information, help or instruction about something 
– > The  most popular reading material is comic books, movie magazines, and TV guides.",
sponsor,"# ( of a company ) to pay the cost of a particular event, program, etc as a way of advertising 
– > This outdoor festival, sponsored  by a newspaper, occurs every April for one weekend.",
attendance,"# the act of being present at place for example at school 
– > This year’s attendance was estimated at 70,000 on Saturday and 75,000 on Sunday.",
feature,"# verb: to include a particular person or thing as a special feature 
– > The festival featured 280 exhibitors.",
exhibit,"# a person or a company that shows their work or products to public 
– > They will exhibiting their new designs at the trade faris.",
seek etymology,"# sought and sought
# seek: to look for something or someone ( formal )",
seeker,"# a person who is trying to find or get the things mentioned 
– > seeker after the truth 
– > Autograph seeker sought out more than 150 authors.",
ethnic,"# connected with or belonging to nation, race, or people that shares a cultural tradition
– > ethnic group / communities 
– > A food court sold all kinks of popular and ethnic foods, from American hamburgers to Hawaiian shave ice dirnks.",
even so,"# despite that
– > There are a lot of spelling mistakes; even so, it is very good essay.
– > Except for a $7 parking fee, the festival was free. Even so, some people avoided the food court prices by sneaking in their own sandwiches and drinks.",
embrace,"# ( not embarrass ) ( formal ) to put your arms around someone as a sign of love or friendship  | synonym: hug 
– > She embraced her son warmly. 
– > Although book festivals were already popular in other US cites, would Los Angeles residents embrace one?",
predict,"# to say that something will happen in the future | synonym: forecast 
– > Nobody could predict the outcome.",
predictable,"# if something is predictable, you know in advance that it will happen or what it will be like
– > a predictable result",
unpredictable,"# that cannot be predicted because it changes a log or depends on too many things
– > unpredictable weather ",
,,
NEW WEEK,# SIXTH,
lesson,# 25. Crazy Housing Prices,
,,
nationwide,"# happing or existing an all part of a particular country
– > a nationwide campaign 
– > Homebuyers nationwide are watching housing prices go up, up, and up.",
mark,"# to write or draw a symbol, line, etc on something in order to give information about it
– > Items marked with an asterisk can be omitted.",
remark,"# something that you say or write with expression with opinion, a thought, etc about someone or something | synonym: comment 
– > to mark a remark 
– > He made a number of rude remark about the food.
– > “As long as interest rates stay around 5 percent, there is no telling,” remarked one realtor in Santa Monica, California.",
realtor,# => real estate agent: a person who is job is to sell houses and land for people,
estate,"# ( law ) all the money and property that a person owns, especially everything that is left when they die
– > Her estate was left to her daughter.",
condominium,"# an apartment building in which each apartment is owned by the person living in it but the building and shared areas are owned by everyone together, a apartment in such a building 
– > I bought my first place, a two-bedroom condominium in Venice, for $70,000.",
overpay,"# to pay someone too much; to pay someone more than their work is worth
– > My friends thought then that I was overpaying.",
desperate,"# feeling or showing that you have little hope and are ready to do anything without worrying about danger to yourself or others 
– > Tim says he hopes he does not get that desperate. ",
opportunity ,"# ( synonym: chance ) a time when a particular situation make is possible to do or achieve something
– > If you do not buy, you want to kick yourself for passing up a great opportunity.",
burst,"# ( burst, burst ) to break open or apart, especially because of pressure form inside; to make something break in this way
– > Everyone says the bubble has to burst sometime, but everyone hopes it will burst the day after they sell their house.",
inevitable,"# adjective and AW. that you cannot avoid or prevent | synonym: unavoidable 
– > It was an inevitable consequence of the decision.",
inevitably,"# 1. as is certain to happen
# 2. as you would except 
– > “All we can say is that, inevitably, these things go in cycles,” said the state director of housing.",
director,"# one of a groups of senior managers who run a company
– > an executive director",
down the road,"# idiom: ( future ) along / down the road: at some time in the future
– > There are certain to be more job losses further down the road.
– > So you can lose over the long run. Twenty years down the road, your house is always worth more than you paid for it.",
,,
lesson,# 26. Happy and Unhappy Renters,
,,
permit,"# ( double tt )( formal ) to allow someone to do something or to allow something to happen
– > I called the police, but they said saxophone playing is permitted in apartments  for up to four hours a day.",
clockwork,"# [ U ] machinery with wheels and sprints like inside a clock
– > His is home by six every day like clockwork.
– > Samantha, like many renters is tired of renting. One reason is that her annual rent goes up like clockwork.",
delightful,"# very pleasant | synonym: charming 
– > a delightful book  / child
– > She played the most delightful music.",
tune,"# 2. to adjust an engine so that it runs smoothly as well as possible
# tune-up ( has the same meaning )
– > Another neighbor was  a mechanic who did my tune-ups and changed the oil in my car.",
"bird ,v","# to go birdwatching 
– > He has bird all over North American.",
birdwatcher,"# a person who watches birds in their natural environment and identifies different breeds, as a hoppy",
breed,"# verb: to have sex and produce young
– > Many animals breed only at certain times of the year
# noun: a particular type of animals that has been developed by people in a controlled way, especially a type of dog, cat, or farm animals
– > Labradors and other large breeds of dog
– > My last neighbor is a birder, we go birding every weekend with out binoculars.",
binocular,# using two eyes,
binoculars,# an instrument like a small telescope fixed together that makes objects that are far away seem nearer when you look through it ( or: filed glasses ),
,,
lesson,# 27. Pulling Out Nine Tons of Trash,
,,
drizzle,"# [ U ] light fine rain
# verb: when it is drizzling, it is raining lightly 
– > A work crew consisting of 150 volunteers worked for eight hour in a light drizzle on Saturday to clean Carson Creek of almost nine tons of debris.",
debris ,"# 1. a piece of wood, metal, brick, etc that are left after had been destroyed 
– > Emergency teams are still cleaning the debris from the place crash.",
doll,"# a children toy in the shape of a person, especially a baby or child",
cub,"# noun: a young animal, such as a young bear, lion, fox, etc
– > a lioness guarding her cubs 
# 3. Cub member of the Cubs => Cub Scout ",
backbreaking,"# ( of physical work ) very hard and tiring 
– > Much of the backbreaking work was done by two community groups: the Cub Scout and the Boy Scout. ",
bay,"# a part of the sea, or of a lake, partly surrounded by a wide curve of the land
– > … and two environmental groups: Save the Bay and Watch the Whales.",
assist,"# AW. to help someone to do something
– > Anyone willing to assist can contact this number.",
retire,"# verb: to stop doing you job, especially because you have reached a particular age, …
– > She retired at 65, as required by company policy.",
retiree,"# a person who has stop working because of their age
– > Concerned retirees and volunteers from police and fire department assisted.",
issue,"# verb: 2 { give }( often passive ) to give something to someone, especially officially 
– > to issue passports / visas / ticket 
– > Everyone was issued boots, gloves, and rain gear.",
gear,"# 1. machinery in a vehicle that turns engine power ( or power on a bicycle ) into movement forward or backward
# 3. { equipment or clothes } the equipment or clothing needed for a particular activity 
– > Careless use of the clutch may damage the geras.",
streambed ,# ? not be found,
haul – again,# to pull something/ someone with a lot of effort ,
effort,"# noun: the physical or mental energy that you need to do something; something that take a lot of energy 
– > You should put more effort into your work.",
roadside,"# the edge of the road
– > We parked by the roadside.
– > The debris was hauled roadside, where trucks lined up to take the trash to the landfill.",
line up,"# to stand in a line or row; to form a queue / line
– > Line up children!",
landfill,"# an area of land where large number of amount of waste material are buried under the earth. 
– > The map shows the position of the landfill.",
proceeds,"# AW. the money that you receive when you sell something or organize a performance, etc; profits
– > She sold her car and bought a piano with the proceeds.
– > The proceeds of the concert will go to charity. 
– > … Then he donate half of the proceeds to Watch the Whales, and use the other half to buy a triple-scoop ice cream cone every day for the rest of his life.",
,,
lesson,# 28. Cloning Pets,
,,
Phoenix,"# the capital of the US state of Arizona, now one of the largest  cities in the United States
– > A company in Phoenix, Arizona, says it can now clone your cat.",
Inc.,"# an abbreviation for Incorporated ( used often the name of a company in the U.S )
– > “Actually”, said Felix Lee, President of Twin in Nice, Inc.",
beloved,"# loved very much by someone
– > The deep purple flowers so beloved by artists. 
– > You do not even have to wait until your beloved cat dies. We already have clients whose clone lives with its donor.",
donor,"# a person or an organization that makes a gift money, clothing, food, etc, to a charity, etc
– > She is one of the charity’s main donor.",
steep,"# 1. of a slope, hill => rising or falling quickly 
# 3. ( of a price of demand ) too much | synonym: expensive 
– > The price is steep. A clone of your cat will cost $50,000.",
biopsy,"# the removal or examination of tissue from the body of someone who is sick, in order to find out more about their disease
– > First your veterinarian ( vet ) must do a biopsy of your cat.",
tissue,"# 1. [c] a piece of soft paper that absorbs liquids, used especially as a handkerchief 
– > a box of tissue 
# 2. [u] ( also tissues ) a collection of cells that from the different parts of humans, animals, and plants
– > muscle, brain, nerve , etc tissue",
culture,"# verb: ( biology, medical ) to grow a group of cells or bacterias for medical or scientific study 
– > This is sent to Twin is Nice Inc., where it is cultured to grow fresh new cells.",
notify,"# to formally or officially tell someone about something | synonym: inform 
– > Competitions winners will be notified by mail.
– > You must notify us in writing if you wish to cancel your subscription.
– > These new cells are stored in liquid nitrogen until you notify TWiN, Inc., that you ready for the clone.",
implant,"# 1. to fix an idea, attitude, etc firmly in someone’s mind 
# 3. ( of an eggs or an embryo ) to become fixed inside the body of a person or an animal so that can start develop 
– > A cultured cell is implanted into a female cat that is in estrus, and if all goes well, a kitten is born about 60 days later.",
embryo,"# ( plural: embryos ) a young animals or plant in the very early stages of development before birth, or before 
# coming out of its eggs or seed, especially a human egg in the first eight weeks after fertilization fertilize 
– > human embryos ",
estrus,# ( technical ) a period of time in which a female animals is ready to have sex,
wean,"# /wi:n/ to gradually stop feeding a baby or young animals with its mother’s milk and start feeding it with solid food
– > The new kitten is weaned in about eight weeks.",
facility,"# AW. 1( facilities ) building, services, equipment, etc that are provided for a particular purpose
– > sport / leisure facilities
– > “Our facility can handle about dozen births a year now, but our goal is to produce about 50 kitten and 50 puppies a year,” said Lee.
# 2. a special feature of a machine, services, etc that makes it possible to do something extra 
– > a facility for checking spelling",
experiment ,"# verb: to do a scientific experiment or experiments
# noun: a scientific test that is done in order to study what happen and to gain new knowledge
– > to do / perform / conduct an experiment ",
stray,"# adjective: ( of animal normally kept as pets ) away from home and lost; having no home
– > stray dogs 
– > The company is currently experimenting with stray dogs. Some canine clones seem to be perfect, but some have been bizarre.",
canine,"# adjective: connected with dogs
– > Chicago’s canine population 
# noun: ( also canine tooth ) one of the four pointed teeth in the front of a human’s or animals mouth
# 2. ( formal ) a dog",
bizarre,# very strange and unusual | synonym: weird ,
nevertheless,"# ( synonym: nonetheless ) despite something that you have just mentioned 
– > There is little change that we will succeed in changing the law. Nevertheless, it is important that we try.
",
nonetheless,"# AW. ( formal ) despite this fact
– > The book is too long but, nonetheless, informative and entertaining.",
despite again,# AW. preposition. 1. sued to show that something happened or is true although something else might have happened to prevent it. | synonym: is spite of ,
,,
lesson,# 29. Rentals at the Oceanside Community ,
,,
debate,"# to discuss something, especially formally, before making a decision or finding a solution | synonym: discuss
– > Politicians well be debating the bill later this week.
– > The oceanside community of Lozana Beach is debating whether to allow homeowners to rent out their home on a weekly basis during the summer.",
basis,"# noun: the reason why people make a particular choice 
– > She was chosen for the job on the basis of her qualifications. 
– > Some movies have been banned on the basis that they are too violent. ",
reason thesaurus ,"# explanation: a statement, fact or situation that tells you why something has happened
– > She left the room abruptly without explanation 
# grounds( somewhat formal ) a good true reason for saying, doing, or believing something 
– > You have to grounds for your accusation 
# basis( somewhat formal ) the reason why people make a particular choice
– > On what basis will this decision be made?
# excuse: a reason, either true or inverted, that you give to explain or defend your behavior 
# or : a good reason that you give for doing something that you want to do for other reasons
– > Late again! What is your excuse this time?
– > It gave me an excuse to drive instead of walking.
# motive: a reason that explain someone behavior 
– > There seemed to be no motive for the murder.
# justification( somehow formal ) a good reason why something exists or is done
– > I can see no possible justification for any further tax increases.
# pretext: ( somehow formal ) a false reason that you give for doing something, usually something bad, in order to hide real reason 
– > He left the party early on the pretext of having to work.
#  Patterns
# ( a / an ) reason / explanation / grounds / basis / excuse / motive / justification / pretext for something
# the reason / motive behind something
# on the grounds / basis / pretext of / that …
# ( a ) valid reason / explanation / grounds / excuse / motive / justification 
# a good reason / explanation / basis / excuse / motive ",
surcharge,"# noun: ( on something ) an extra amount of money that you must pay in addition of the usual price
# verb: ( something / someone ) to make someone pay a surcharge 
– > The airline surcharges passengers for any checked luggage.
– > Such rentals produce high incomes for the owners and the city, which gets part of this income through 15-percent surcharge to the owner. ",
boon,"# ( to / for someone ) something that is very useful / helpful and makes life easier for you
– > A new software will prove a boon to Internet users. 
– > “This can be a boon to our coffers,” said Rick Brown, city maanger.",
coffer,"# 1. a large strong box, use in the past for storing money or valuable objects
# coffers: ( with s ) a way of referring to the money that a government, an organization, etc has available to spend
– > The nation’s coffers are empty",
generate,"# AW. to produce or create something
– > We need someone to generate new ideas",
make thesaurus ,"# make: to create or prepare something by combining materials or putting together
# or     : to create something to exist or happen
– > She makes her own clothes
– > She made a good impression on the interviewer.
# do: ( somehow informal ) to make or prepare something, especially something artistic or something to et 
– > He did a beautiful drawing of a house.
– > who is doing the food for the party?
# create: to make something exist or happen, especially something new that did not exist before
– > Scientists disagree about how the universe created.
# make or create? make is more general than create.
# develop: ( used especially in business context ) to think of an produce a new product; 
– > to develop new software
# produce: to make things to be sold, to create something using skill
– > a factory that produce microchips
# generate: to produce or create something, especially power, money, or ideas 
– > to generate electricity 
– > Brainstorming is a good way to generate ideas ",
pile thesaurus,"# in longman dictionary: 
# pile: a group of things of the same type that are put on top of each other
– > a large pile of cardboard boxes
# stack: a neat pile of things of the same type
– > There were stack of books on the floor.
# heap: a large messy pile of things
– > All his clothes were in a heap on the floor.
# mound: a pile of something with a round shape
– > a small mound of rice on the plate
# mountain: a very large pile of something with round shape
– > a mountain of dirty laundry waiting to be washed.",
toss thesaurus ,"# throw: to make something such as  a ball or stone move quickly through the air using your hand
– > the threw the ball back to him
# toss ( also chuck )( informal ) to throw something, especially in a careless way without using much effort 
– > She tossed her coat onto the bed
# hurl: to throw something with a lot of force
– > Someone hurled a brick through his window.",
abuse,"# noun: the use of something is a way that is wrong or harmful  | synonym: misuse 
– > The system of paying cash bonuses is open to abuse
# verb: to make bed use of something, or to use so much of something that is harms your health
– > to abuse alcohol / drugs 
– > This abuse created a lot of friction with neighbors and resulted in extra work for city maintenance crews and for police.",
friction,"# 1. the action of one object or surface moving against another
– > Friction between moving parts had caused the engine to overheat
# 2. ( physics ) the resistance 
# 3. ( between A and B ) disagreement or a lack of friendship among people who have different opinions about something | synonym: tension ",
propose,"# { suggest plan } ( formal ) to suggest a plan, an idea, etc for people to think about and decide on
– > The government proposed changes to the voting system.",
proposal,"# a formal suggestion or plan; the act of making a suggestion
– > to submit / consider / accept / reject a proposal 
– > One officials has already suggested a proposal. ",
respond,"# verb. AW. ( somehow formal ) to give a spoken or writing answer to someone or something | synonym: reply
– > I asked him his name, but his did not respond.
– > She never respond to my letter.",
response,"# noun. AW. 1. to spoken or written answer 
– > She made no response.
– > The homeowners will be charge $200 per response.",
offset,"# verb: to use one cost, payment or situation in order to cancel or reduce the effect of another
– > Prices have risen in order to offset the increasing cost of materials.
– > The city would still get 15 percent of the rentals fee, even of the homeowner’s rent were totally offset by fines.",
prove etymology ,"# prove, proven, proven.
– > …. the community have already proven that they have no consideration for others.",
,,
NEW WEEK,,
lesson,# 30. Trees Are a Threat,
,,
elevate,"# ( formal ) to give someone / something a higher position or rank, often more important than they deserve | synonym: raise / promote 
– > He elevated many of his friends to powerful positions within the government.",
elevation,"# ( technical ) the height of a place, especially its height about the sea level
– > The city at an elevation of about 5,000 feet.
– > The mountain town of Canton is at an elevation of 6,000 feet.",
underbrush,"# a mass or bushes and plants that grow close together under trees in woods and forests | synonym: undergrowth 
– > The dog came crashing through the underbrush toward us.
– > It is surrounded by think underbrush and pine trees.",
pine tree,"# ( or pine ) an evergreen forest tree with leaves like needles 
– > pine forests",
topple,"# to become unsteady and fall down; to make something do this
– > The pile of books toppled over.
– > The brush will be removed first, then the trees will be toppled and removed.
# 2. to make someone lose their position of power or authority | synonym : overthrow ",
brush,"# noun: an object made of short stiff hairs ( called bristles ) or wires set in a block of wood or plastic, usually attached to a handle
# 3. land covered by small tress and bushes 
– > a brush fire",
flame,"# noun: 1. a hot bright stream of burning gas that comes from something that is on fire
– > the tiny yellow flame of a match",
flammable,"# adjective: that can burn easily
# antonym: nonflammable",
nonflammable,"# A cleared nonflammable area will then safely surround the town of 4,000.",
inferno,"# a very dangerous fire that is out of control
– > blazing / raging inferno
– > Residents look forward to the work, because it will help their town survive a future inferno.",
dirt bike,"# a small motorcycle designed for riding on rough ground 
– > Once the area is cleared, we have to make sure dirt bikers do not try to make the cleared area their personal playground.",
acre again,"# a unit of measuring an area of land; 4,840 square years ( about 4,050 square meters )
– > 3,000 acres of parkland 
– > A recent file burned 4,000 acres and destroyed 11 homes in nearby Hamilton.",
rage again,"# noun: 1. a feeling of violation anger that is difficult to control
– > The fire was raging toward Canton, but a sudden rainstorm put it out.",
rainstorm ,# a heavy fall of rain,
massive,"# 1. very large, heavy, and solid 
– > a massive rock
– > Residents know that they will not get lucky twice, so they are looking forward to this massive clearing operation. ",
fund,"# noun. AW. 1. an amount of money that has been saved or has been made available for a particular purpose 
# 2. money that is available to be spent 
– > The hospital is trying to raise funds for a new kidney machine.
– > Ninety percent of the cutting and clearing will be paid with federal funds.",
loan,"# money that an organization such as a bank lends and someone borrows 
– > Officials say that residents can apply for state and federal loans of necessary.",
range,"# noun. AW. 1.  a variety of things of a particular type
– > The hotel offers a wide range of facilities
# verb: to vary between two particular amount, size, etc including others between them
– > to range in size / length / price form A to B
– > Prices can range as high as $1,000 to cut an remove one tree.",
vary,"# verb. AW. 1. ( of group of similar things ) to be different form each other in size, shape, etc | synonym: differ
– > The students’ work varies considerably in quality.",
social security,"# ( abbreviation: SS )
# a system in which people pay money regularly to the government when they are working and receive payment form the government when they are unable to work, especially when they are sick or too old to work",
social security number,# an official identity number that everyone is the U.S. is given when they are born.,
ought to,"# model verb. negative: ought not to
# use to say what is the right thing to do
– > They ought to apologize.
– > Should I to write to say thank you? Yes. I think you ought ( to ).",
,,
lesson,"# 31. Gets Booked, Write a Book",
,,
convict,"# to decide and state officially in court that someone is guilty of a crime 
– > A man convicted of writing bad checks to casinos has written a book that he predicts will become a national bestseller .", an occasion when this takes place | synonym: theft 
state verb,"# 1. to formally write or say something, especially in a careful and clear way
– > the facts are clearly stated in the report.",
state thesaurus,"# declare: to say something officially or publicly 
# state: to formally write or say something, especially in a careful and clear way
# indicate: to state something, sometimes in a way that is slightly indirect
– > During our meeting, in indicated his willingness to cooperate.
# announce: to tell people officially about a decision or plans; to give information about something in a public place, especially through a loudspeaker 
– > Has our flight been announced yet?
# declare or announce ?
# Declare is used more often for giving judgments; 
# Announce is used more often for giving facts",
bestseller,"# a product, usually a book which is bought by large numbers of people
– > the bestseller list",
title,"# noun: the name of a book, poem, painting, piece of music, etc
# verb: to give a book, piece of music, etc a particular name
– > Their first album was titled “Made in Valmez.” ",
entitle,"# 2. to give a title to a book
– > He read a poem entitled “Salt.”",
serve,"# 1.verb: { food / drink } to give someone food or drink, for example an a restaurant or during a meal
– > Breakfast is served between 7 and 10 a.m.
# 10. { time in prison } to spend a period of time in prison 
– > She is served two years for theft.
– > Duncan is serving a five-year sentence for grand larceny in Las Vegas city jail.",
sentence,"# noun: ( grammar ) a set of words expressing a statement, a question, or an other, usually containing a subject and a verb
# noun(2): the punishment given by a court
– > a jail / prison sentence 
– > a light / heavy sentence 
– > to be under sentence of death
– > The judge passed sentence ( = said what the punishment would be ).
– > The prisoners has served ( = completed ) his sentence and will be released tomorrow.",
larceny again,# noun: ( plural: larcenies ) ( law ) the crime of stealing something form someone,
bogus,"# pretended to be real or genuine | synonym: false
– > to bogus doctor / contract 
– > He wrote 18 bogus checks, ranging a value from $3,000 to $10,000, at 17 different casinos.",
incarcerate ,"# verb: ( formal ) to put someone in prison or in another place from which they cannot escape | synonym: imprison 
– > Thousands were incarcerated in labor camps. 
# incarceration: noun
– > There have been angry protests about his arrest and incarceration.
– > During his incarceration, he used the library facilities and computers to write his book.",
posh,"# adjective: ( informal ) elegant and expensive 
– > a posh hotel 
– > People like to read about gangsters, beautiful woman, flashy cars, posh hotels, and existing possibilities of winning it all and losing it all.",
flashy,"# 1( of thing ) attracting attention by being bright, expensive, large, etc
– > a flashy hotel",
blackjack,"# noun: 1. a card game in which players try to collect cards with a total value of 21 and no more
– > He claims that he made almost $1 million at blackjack. Then other sharks stated copying his technique.",
shark,"# noun: 1. a large sea fish with very sharp teeth and pointed fin on its back
– > a Great White Shark
# 2. ( informal and disapproving ) a person who is dishonest in business, especially someone who gives bad advice an gets people to pay to much for something
# compare to: loan shark",
loan shark,# a person who lends money at very high rates or interest ,
interest,"# noun: { wanting to know more }
# 4. { money } ( finance ) the extra money that you pay back when you borrow money or that you receive when you invest money
– > to pay interest on a loan",
abuse verb,"# to make bad use of something or to use so much of something that is harm your health
– > The abuse the system, said Duncan. They got greedy, If they had been like me, and just won some here and there, different places and different nights the casinos would not have gotten suspicious so fast.",
deck,"# noun: 1. the top outside floor of a ship or boat
– > I was only the person on deck at the time of night
# 3. ( also deck of cards )( also pack ) a complete set of 52 playing cards
– > When the casinos realized what was going on, they started using two or more decks at blackjack tables to thwart the counters.",
thwart,"# to prevent someone from doing what they want to do | synonym: frustrate 
– > to thwart someone’s plans",
,,
lesson,# 32. Popular Park Reopens ,
,,
mud,"# wet earth that is soft and sticky
– > The Silas Lake Park reopens today after being closed for six months.
– > The park was closed because mud and rock slides destroyed part of Cambridge Road, the only access into the park.",
boulder,"# a very large rock which has been shaped by water or weather 
– > We had to remove tons of boulders and rocks.",
wind,"# (2) ( wound, wound ) ( of road, river, etc ) to have many bends and twists
– > The path wound down to the beach.
– > Cambridge Road is a two-lane highway that winds upward through Pearl Canyon before it descends to Silas Lake.",
descend,"# ( formal ) to come or go down from a higher to lower level != opposite: ascend
– > The plane began to descend. ",
shore,"# the land along the edge of the ocean, a lake, or another large area of water
– > a rocky / sandy shore",
coast thesaurus,"# These are the words for the land beside or near to the ocean, a river, or a lake:
# coast: the land beside or near the ocean 
– > a town on the south coast of Georgia
# beach: an area of sand, or small stones, beside the ocean or a lake
– > She took the kids to the beach for the day
# shore: an area that is by the ocean or a lake, especially one where people go for a day or a vacatoin
– > Let’s to the shore.
# coastline: the land along a coast, especially when you thinking of its shape or appearance 
– > California’s rugged coastline
# sand: a large area of sand on a beach
– > We went for a walk on the sand
# the seashore: the land along the edge of the ocean, usually where there is sand or rocks
– > He liked to look for shells on the seashore.",
shoreline,"# the edge of the ocean or a lake
– > a rocky shoreline
– > Silas Lake has about 20 miles shoreline.",
bass,"# (1) noun: the lowest tone or part in music
# (1) adjective: low in tone
– > a base voice 
# (2) a sea or freshwater fish that is used for food
– > Fresh sea bass is a great delicacy.
– > The largest lake in the county, it is also famous for bass.",
ramp,"# a slope that joins two part of a road, path, building, etc, when one is higher than the other
– > Ramps should be provided for wheelchair users.
– > The lake has to ramps for boaters.",
tackle,"# noun: the equipment used to do a particular sport or activity, especially finishing 
– > … a full-service restaurant, a snack bar, a small tackle store, and a boat rental facility.",
pit,"# { deep hole } a large deep hole in the ground
– > We dug a deep pit in the yard.
– > More than 100 picnic tables have protective roofs and big barbecue pits.",
horseshoe,"# 1. a piece of curved iron that is attached with nails to the bottom of a horse’s foot.
# 2. anything shaped like a horseshoe
# 3. horseshoes: a game in which a horseshoe are thrown at a post in the ground
– > Horseshoes and kite-flying are two other popular activities.",
designate,"# verb: 1. to say officially that someone/ something has a particular character or name; to describe someone / something in particular way
– > This area has been designated (as) a national park.
– > In the summer, a designated swimming area has a lifeguard on duty seven days a week.",
latecomer,"# a person who arrives late
– > Latecomers either leaver or wait in line for someone to leave the parking lot.",
dawn,"# the time a day when light first appears | synonym: sunrise and daybreak 
– > They start work at dawn
– > The park is open from dawn to 10 p.m.",
average,"# verb: to be equal to a particular amount as an average
– > We probably average 2,000 people here every day during the summer. ",
commune,"# ( formal ) to share your emotions and feelings with someone/something without speaking 
– > They come here to fish, swim, water-ski, jet-ski, picnic, commune with Mother Nature, you name it.",
Mother Nature,"# the nature world, when you consider it as a force that affects the world and humans ",
,,
lesson,# 33. Swim Classes Begin Soon,
,,
endurance,"# the ability to continue doing something painful or difficult for a long period of time without complaining
– > The last week is for advanced students who want to improve their race and endurance skills. ",
certificate,"# noun. Key. ( abbreviation: cert ) 1. an official document that may be used to prove that the facts it states are true
– > a birth / marriage / death certificate 
– > … students who sing up for Level 4 ( Stroke Readiness ) must show their certificate.",
demonstrate,"# verb. AW. Key. 1. to show something clearly by giving proof or evidence 
– > … Level 3 or must demonstrate the front crawl and backstroke.",
evaluate,"# verb. AW. to form an opinion of the amount, value, or quality of something after thinking about it carefully | synonym: assess
– > Our research attempts to evaluate the effectiveness of the different drugs.
# evaluation: noun. 
– > an evaluation of the heath care system
# evaluative: adjective",
joy,"# a feeling of great happiness | synonym: delight
– > to dance for / with joy
– > “It is a joy to teach young children,” said Ginger, the lead instructor for swimming programs. ",
rate,"# Key. noun. 1. a measurement of the speed at which something happens
– > Most people walk at an average rate of 2 miles an hour.
# verb. ( not used in the progressive tenses ) 1. to have or think that someone or something has a particular level of quality, value, etc
– > The university is highly rated for its research.",
,,
lesson,# 34. Getting Older But Not Siting Around,
,,
non-profit,# ( of an organization ) without the aim of making profit,
